Time [s],Channel 3
20.655313500,0
20.655322200,1
20.661243900,0
20.661252600,1
20.661270000,0
20.661296100,1
20.661313400,0
20.661322100,1
20.667243800,0
20.667278600,1
20.667287300,0
20.667304700,1
20.667313300,0
20.667322000,1
20.673261300,0
20.673269900,1
20.673278600,0
20.673304700,1
20.673313400,0
20.673322100,1
20.673330800,0
20.673339400,1
20.679243600,0
20.679252300,1
20.679261000,0
20.679269700,1
20.679278400,0
20.679287100,1
20.679313100,0
20.679321800,1
20.685243600,0
20.685261000,1
20.685269700,0
20.685278300,1
20.685287000,0
20.685321800,1
20.691243500,0
20.691260900,1
20.691269600,0
20.691278300,1
20.691286900,0
20.691321700,1
20.697243400,0
20.697269500,1
20.697278200,0
20.697286800,1
20.697295500,0
20.697304200,1
20.697312900,0
20.697321600,1
20.703243300,0
20.703278100,1
20.703286800,0
20.703295400,1
20.703312800,0
20.703321500,1
20.709243300,0
20.709251900,1
20.709260600,0
20.709269300,1
20.709278000,0
20.709295400,1
20.709312800,0
20.709321400,1
20.715243200,0
20.715295300,1
20.715304000,0
20.715321400,1
20.721243100,0
20.721251800,1
20.721260500,0
20.721295200,1
20.721312600,0
20.721321300,1
20.727243000,0
20.727260400,1
20.727269100,0
20.727295100,1
20.727312500,0
20.727321200,1
20.733242900,0
20.733251600,1
20.733286400,0
20.733295100,1
20.733312400,0
20.733321100,1
20.739242900,0
20.739260200,1
20.739277600,0
20.739286300,1
20.739312400,0
20.739321000,1
20.745242800,0
20.745251500,1
20.745260100,0
20.745268800,1
20.745277500,0
20.745294900,1
20.745312300,0
20.745321000,1
20.751242700,0
20.751294800,1
20.751303500,0
20.751320900,1
20.757242600,0
20.757251300,1
20.757260000,0
20.757277400,1
20.757286000,0
20.757294700,1
20.757312100,0
20.757320800,1
20.763242500,0
20.763251200,1
20.763268600,0
20.763286000,1
20.763312000,0
20.763320700,1
20.769242400,0
20.769294600,1
20.769303300,0
20.769320600,1
20.775242400,0
20.775251000,1
20.775259700,0
20.775294500,1
20.775311900,0
20.775320500,1
20.781242300,0
20.781294400,1
20.781303100,0
20.781320500,1
20.787242200,0
20.787259600,1
20.787268300,0
20.787294300,1
20.787311700,0
20.787320400,1
20.793242100,0
20.793250800,1
20.793259500,0
20.793294200,1
20.793311600,0
20.793320300,1
20.799242000,0
20.799250700,1
20.799268100,0
20.799285500,1
20.799311500,0
20.799320200,1
20.805242000,0
20.805250600,1
20.805259300,0
20.805268000,1
20.805276700,0
20.805294100,1
20.805311500,0
20.805320100,1
20.811241900,0
20.811259200,1
20.811276600,0
20.811285300,1
20.811302700,0
20.811320100,1
20.817241800,0
20.817267900,1
20.817276500,0
20.817285200,1
20.817302600,0
20.817320000,1
20.823243500,0
20.823252200,1
20.823260900,0
20.823269500,1
20.823286900,0
20.823295600,1
20.823304300,0
20.823321700,1
20.829243400,0
20.829252100,1
20.829260800,0
20.829269500,1
20.829278100,0
20.829295500,1
20.829312900,0
20.829321600,1
20.835243300,0
20.835260600,1
20.835286700,0
20.835295400,1
20.835312800,0
20.835321400,1
20.841243300,0
20.841251900,1
20.841269300,0
20.841295400,1
20.841312800,0
20.841321400,1
20.847242500,0
20.847251100,1
20.847285900,0
20.847294600,1
20.847312000,0
20.847320600,1
20.853242900,0
20.853268900,1
20.853277600,0
20.853295000,1
20.853312400,0
20.853321100,1
20.859242000,0
20.859250700,1
20.859259400,0
20.859268100,1
20.859276800,0
20.859294100,1
20.859311500,0
20.859320200,1
20.865241100,0
20.865267200,1
20.865275900,0
20.865293300,1
20.865310600,0
20.865319300,1
20.871241100,0
20.871293200,1
20.871301900,0
20.871319200,1
20.877241000,0
20.877249700,1
20.877258300,0
20.877267000,1
20.877284400,0
20.877293100,1
20.877310500,0
20.877319200,1
20.883240900,0
20.883249600,1
20.883258300,0
20.883266900,1
20.883275600,0
20.883293000,1
20.883310400,0
20.883319100,1
20.889240800,0
20.889249500,1
20.889266900,0
20.889284200,1
20.889310300,0
20.889319000,1
20.895240700,0
20.895249400,1
20.895266800,0
20.895284200,1
20.895310200,0
20.895318900,1
20.901240600,0
20.901249300,1
20.901258000,0
20.901292800,1
20.901310100,0
20.901318800,1
20.907240600,0
20.907249300,1
20.907275300,0
20.907292700,1
20.907310100,0
20.907318700,1
20.913240500,0
20.913249200,1
20.913257900,0
20.913266500,1
20.913275200,0
20.913292600,1
20.913310000,0
20.913318700,1
20.919240400,0
20.919292500,1
20.919301200,0
20.919318600,1
20.925240300,0
20.925257700,1
20.925275100,0
20.925292400,1
20.925309800,0
20.925318500,1
20.931240200,0
20.931257600,1
20.931266300,0
20.931283700,1
20.931309700,0
20.931318400,1
20.937240200,0
20.937248800,1
20.937283600,0
20.937292300,1
20.937309700,0
20.937318300,1
20.943240100,0
20.943248800,1
20.943257500,0
20.943266100,1
20.943283500,0
20.943292200,1
20.943309600,0
20.943318300,1
20.949240000,0
20.949292100,1
20.949300800,0
20.949318200,1
20.955240600,0
20.955266700,1
20.955275400,0
20.955284000,1
20.955310100,0
20.955318800,1
20.961239800,0
20.961274500,1
20.961283200,0
20.961291900,1
20.961309300,0
20.961318000,1
20.967239800,0
20.967248400,1
20.967257100,0
20.967265800,1
20.967274500,0
20.967291900,1
20.967309200,0
20.967317900,1
20.973239700,0
20.973291800,1
20.973300500,0
20.973317900,1
20.979239600,0
20.979248300,1
20.979265600,0
20.979283000,1
20.979309100,0
20.979317800,1
20.985239500,0
20.985248200,1
20.985256900,0
20.985274300,1
20.985309000,0
20.985317700,1
20.991239400,0
20.991248100,1
20.991265500,0
20.991282900,1
20.991308900,0
20.991317600,1
20.997239300,0
20.997265400,1
20.997274100,0
20.997282800,1
20.997308800,0
20.997317500,1
21.003239300,0
21.003247900,1
21.003256600,0
21.003265300,1
21.003274000,0
21.003291400,1
21.003308800,0
21.003317400,1
21.009239200,0
21.009247900,1
21.009256600,0
21.009265200,1
21.009282600,0
21.009291300,1
21.009308700,0
