Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.924562000,0,0,0,1,0,0,0,0
6.924570000,0,0,0,0,0,0,0,0
6.924579000,0,0,0,1,0,0,0,0
6.924588000,0,0,0,0,0,0,0,0
6.924596000,0,0,0,1,0,0,0,0
6.924631000,0,0,0,0,0,0,0,0
6.924648000,0,0,0,1,0,0,0,0
6.924657000,0,0,0,0,0,0,0,0
6.924666000,0,0,0,1,0,0,0,0
6.924674000,0,0,0,0,0,0,0,0
6.924683000,0,0,0,1,0,0,0,0
6.924692000,0,0,0,0,0,0,0,0
6.924701000,0,0,0,1,0,0,0,0
6.924718000,0,0,0,0,0,0,0,0
6.924727000,0,0,0,1,0,0,0,0
6.924735000,0,0,0,0,0,0,0,0
6.924753000,0,0,0,1,0,0,0,0
6.924761000,0,0,0,0,0,0,0,0
6.924787000,0,0,0,1,0,0,0,0
6.924805000,0,0,0,0,0,0,0,0
6.924822000,0,0,0,1,0,0,0,0
6.924831000,0,0,0,0,0,0,0,0
6.924840000,0,0,0,1,0,0,0,0
6.924848000,0,0,0,0,0,0,0,0
6.924857000,0,0,0,1,0,0,0,0
6.924892000,0,0,0,0,0,0,0,0
6.924909000,0,0,0,1,0,0,0,0
6.924918000,0,0,0,0,0,0,0,0
6.924926000,0,0,0,1,0,0,0,0
6.924935000,0,0,0,0,0,0,0,0
6.924944000,0,0,0,1,0,0,0,0
6.924979000,0,0,0,0,0,0,0,0
6.924996000,0,0,0,1,0,0,0,0
6.925005000,0,0,0,0,0,0,0,0
6.925013000,0,0,0,1,0,0,0,0
6.925022000,0,0,0,0,0,0,0,0
6.925065000,0,0,0,1,0,0,0,0
6.925074000,0,0,0,0,0,0,0,0
6.925083000,0,0,0,1,0,0,0,0
6.925091000,0,0,0,0,0,0,0,0
6.925100000,0,0,0,1,0,0,0,0
6.925109000,0,0,0,0,0,0,0,0
6.925126000,0,0,0,1,0,0,0,0
6.925135000,0,0,0,0,0,0,0,0
6.925170000,0,0,0,1,0,0,0,0
6.925178000,0,0,0,0,0,0,0,0
6.925187000,0,0,0,1,0,0,0,0
6.925196000,0,0,0,0,0,0,0,0
6.925204000,0,0,0,1,0,0,0,0
6.925213000,0,0,0,0,0,0,0,0
6.925257000,0,0,0,1,0,0,0,0
6.925265000,0,0,0,0,0,0,0,0
6.925274000,0,0,0,1,0,0,0,0
6.925283000,0,0,0,0,0,0,0,0
6.925291000,0,0,0,1,0,0,0,0
6.925309000,0,0,0,0,0,0,0,0
6.925343000,0,0,0,1,0,0,0,0
6.925352000,0,0,0,0,0,0,0,0
6.925361000,0,0,0,1,0,0,0,0
6.925369000,0,0,0,0,0,0,0,0
